,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
112,0.8,0.22,0.68,0.52,0.7,0.1,0.56,10,12,0,0,0,10,0
85,0.8,0.22,0.68,0.52,0.7,0.1,0.56,10,12,1,0,0,0,10
172,0.8,0.22,0.68,0.52,0.7,0.1,0.56,10,12,2,0,0,10,0
101,0.8,0.22,0.68,0.52,0.7,0.1,0.56,10,12,3,0,0,10,0
37,0.8,0.22,0.68,0.52,0.7,0.1,0.56,10,12,4,0,0,10,0
58,0.8,0.22,0.68,0.52,0.7,0.1,0.56,10,12,5,0,0,10,0
92,0.8,0.22,0.68,0.52,0.7,0.1,0.56,10,12,6,0,0,10,0
13,0.8,0.22,0.68,0.52,0.7,0.1,0.56,10,12,7,0,0,0,10
82,0.8,0.22,0.68,0.52,0.7,0.1,0.56,10,12,8,0,0,10,0
55,0.8,0.22,0.68,0.52,0.7,0.1,0.56,10,12,9,0,0,10,0
139,0.8,0.22,0.68,0.52,0.7,0.1,0.56,20,12,10,0,0,20,0
164,0.8,0.22,0.68,0.52,0.7,0.1,0.56,20,12,11,0,0,20,0
95,0.8,0.22,0.68,0.52,0.7,0.1,0.56,20,12,12,0,0,20,0
69,0.8,0.22,0.68,0.52,0.7,0.1,0.56,20,12,13,0,0,0,20
39,0.8,0.22,0.68,0.52,0.7,0.1,0.56,20,12,14,0,0,20,0
12,0.8,0.22,0.68,0.52,0.7,0.1,0.56,20,12,15,0,0,20,0
98,0.8,0.22,0.68,0.52,0.7,0.1,0.56,20,12,16,0,0,20,0
18,0.8,0.22,0.68,0.52,0.7,0.1,0.56,20,12,17,0,0,20,0
144,0.8,0.22,0.68,0.52,0.7,0.1,0.56,20,12,18,0,0,20,0
153,0.8,0.22,0.68,0.52,0.7,0.1,0.56,20,12,19,0,0,20,0
119,0.8,0.22,0.68,0.52,0.7,0.1,0.56,30,12,20,0,0,30,0
94,0.8,0.22,0.68,0.52,0.7,0.1,0.56,30,12,21,0,0,30,0
132,0.8,0.22,0.68,0.52,0.7,0.1,0.56,30,12,22,0,0,30,0
147,0.8,0.22,0.68,0.52,0.7,0.1,0.56,30,12,23,0,0,30,0
11,0.8,0.22,0.68,0.52,0.7,0.1,0.56,30,12,24,0,0,30,0
174,0.8,0.22,0.68,0.52,0.7,0.1,0.56,30,12,25,0,0,30,0
68,0.8,0.22,0.68,0.52,0.7,0.1,0.56,30,12,26,0,0,30,0
38,0.8,0.22,0.68,0.52,0.7,0.1,0.56,30,12,27,0,0,30,0
155,0.8,0.22,0.68,0.52,0.7,0.1,0.56,30,12,28,0,0,30,0
63,0.8,0.22,0.68,0.52,0.7,0.1,0.56,30,12,29,0,0,30,0
73,0.8,0.22,0.68,0.52,0.7,0.1,0.56,40,12,30,0,0,40,0
41,0.8,0.22,0.68,0.52,0.7,0.1,0.56,40,12,31,0,0,40,0
127,0.8,0.22,0.68,0.52,0.7,0.1,0.56,40,12,32,0,0,40,0
22,0.8,0.22,0.68,0.52,0.7,0.1,0.56,40,12,33,0,0,40,0
188,0.8,0.22,0.68,0.52,0.7,0.1,0.56,40,12,34,0,0,40,0
8,0.8,0.22,0.68,0.52,0.7,0.1,0.56,40,12,35,0,0,40,0
36,0.8,0.22,0.68,0.52,0.7,0.1,0.56,40,12,36,0,0,40,0
134,0.8,0.22,0.68,0.52,0.7,0.1,0.56,40,12,37,0,0,40,0
106,0.8,0.22,0.68,0.52,0.7,0.1,0.56,40,12,38,0,0,40,0
103,0.8,0.22,0.68,0.52,0.7,0.1,0.56,40,12,39,0,0,40,0
56,0.8,0.22,0.68,0.52,0.7,0.1,0.56,50,12,40,0,0,50,0
26,0.8,0.22,0.68,0.52,0.7,0.1,0.56,50,12,41,0,0,50,0
