,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
82,0.8,0.22,0.68,0.52,0.7,0.0,0.56,105,12,0,0,0,105,0
116,0.8,0.22,0.68,0.52,0.7,0.0,0.56,105,12,1,0,0,105,0
15,0.8,0.22,0.68,0.52,0.7,0.0,0.56,105,12,2,0,0,105,0
53,0.8,0.22,0.68,0.52,0.7,0.0,0.56,105,12,3,0,0,105,0
437,0.8,0.22,0.68,0.52,0.7,0.0,0.56,105,12,4,0,0,105,0
347,0.8,0.22,0.68,0.52,0.7,0.0,0.56,105,12,5,0,0,105,0
359,0.8,0.22,0.68,0.52,0.7,0.0,0.56,105,12,6,0,0,105,0
399,0.8,0.22,0.68,0.52,0.7,0.0,0.56,105,12,7,0,0,105,0
284,0.8,0.22,0.68,0.52,0.7,0.0,0.56,105,12,8,0,0,105,0
319,0.8,0.22,0.68,0.52,0.7,0.0,0.56,105,12,9,0,0,105,0
110,0.8,0.22,0.68,0.52,0.7,0.01020408163265306,0.56,105,12,10,0,0,105,0
147,0.8,0.22,0.68,0.52,0.7,0.01020408163265306,0.56,105,12,11,0,0,105,0
325,0.8,0.22,0.68,0.52,0.7,0.01020408163265306,0.56,105,12,12,0,0,105,0
367,0.8,0.22,0.68,0.52,0.7,0.01020408163265306,0.56,105,12,13,0,0,105,0
255,0.8,0.22,0.68,0.52,0.7,0.01020408163265306,0.56,105,12,14,0,0,105,0
289,0.8,0.22,0.68,0.52,0.7,0.01020408163265306,0.56,105,12,15,0,0,105,0
301,0.8,0.22,0.68,0.52,0.7,0.01020408163265306,0.56,105,12,16,0,0,105,0
176,0.8,0.22,0.68,0.52,0.7,0.01020408163265306,0.56,105,12,17,0,0,105,0
155,0.8,0.22,0.68,0.52,0.7,0.01020408163265306,0.56,105,12,18,0,0,105,0
266,0.8,0.22,0.68,0.52,0.7,0.01020408163265306,0.56,105,12,19,0,0,105,0
