,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
169,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,3,0,0,0,105,0
123,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,3,1,0,0,105,0
73,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,3,2,0,0,105,0
20,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,3,3,0,0,105,0
31,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,3,4,0,0,105,0
152,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,3,5,0,0,105,0
105,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,3,6,0,0,105,0
52,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,3,7,0,0,105,0
118,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,3,8,0,0,105,0
65,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,3,9,0,0,105,0
74,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,4,10,0,0,105,0
124,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,4,11,0,0,105,0
145,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,4,12,0,0,105,0
21,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,4,13,0,0,105,0
83,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,4,14,0,0,105,0
96,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,4,15,0,0,105,0
62,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,4,16,0,0,105,0
115,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,4,17,0,0,105,0
133,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,4,18,0,0,105,0
11,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,4,19,0,0,105,0
32,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,5,20,0,0,105,0
54,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,5,21,0,0,105,0
134,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,5,22,0,0,105,0
85,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,5,23,0,0,105,0
63,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,5,24,0,0,105,0
12,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,5,25,0,0,105,0
163,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,5,26,0,0,105,0
116,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,5,27,0,0,105,0
94,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,5,28,0,0,105,0
40,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,5,29,0,0,105,0
30,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,6,30,0,0,105,0
161,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,6,31,0,0,105,0
64,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,6,32,0,0,105,0
117,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,6,33,0,0,105,0
164,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,6,34,0,0,105,0
41,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,6,35,0,0,105,0
33,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,6,36,0,0,105,0
86,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,6,37,0,0,105,0
135,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,6,38,0,0,105,0
13,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,6,39,0,0,105,0
109,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,7,40,0,0,105,0
56,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,7,41,0,0,105,0
4,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,7,42,0,0,105,0
128,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,7,43,0,0,105,0
79,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,7,44,0,0,105,0
26,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,7,45,0,0,105,0
148,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,7,46,0,0,105,0
99,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,7,47,0,0,105,0
104,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,7,48,0,0,105,0
50,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,7,49,0,0,105,0
72,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,8,50,0,0,105,0
122,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,8,51,0,0,105,0
29,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,8,52,0,0,105,0
82,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,8,53,0,0,105,0
103,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,8,54,0,0,105,0
151,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,8,55,0,0,105,0
59,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,8,56,0,0,105,0
113,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,8,57,0,0,105,0
131,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,8,58,0,0,105,0
8,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,8,59,0,0,105,0
132,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,9,60,0,0,105,0
84,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,9,61,0,0,105,0
61,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,9,62,0,0,105,0
10,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,9,63,0,0,105,0
43,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,9,64,0,0,105,0
130,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,9,65,0,0,105,0
154,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,9,66,0,0,105,0
0,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,9,67,0,0,105,0
39,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,9,68,0,0,105,0
42,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,9,69,0,0,105,0
22,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,10,70,0,0,105,0
75,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,10,71,0,0,105,0
5,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,10,72,0,0,105,0
57,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,10,73,0,0,105,0
110,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,10,74,0,0,105,0
159,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,10,75,0,0,105,0
37,0.8,0.22,0.68,0.52,0.7,0.1,0.56,105,10,76,0,0,105,0
