,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
393,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0,0.517588437,100,11.4958368,0,0,0,0,100
430,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0,0.517588437,100,11.4958368,1,0,0,0,100
314,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0,0.517588437,100,11.4958368,2,0,0,0,100
352,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0,0.517588437,100,11.4958368,3,0,0,0,100
29,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0,0.517588437,100,11.4958368,4,0,0,0,100
65,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0,0.517588437,100,11.4958368,5,0,0,0,100
463,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0,0.517588437,100,11.4958368,6,0,0,0,100
0,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0,0.517588437,100,11.4958368,7,0,0,0,100
89,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0,0.517588437,100,11.4958368,8,0,0,0,100
128,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0,0.517588437,100,11.4958368,9,0,0,0,100
57,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.01020408163265306,0.517588437,100,11.4958368,10,0,0,100,0
90,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.01020408163265306,0.517588437,100,11.4958368,11,0,0,0,100
491,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.01020408163265306,0.517588437,100,11.4958368,12,0,0,0,100
21,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.01020408163265306,0.517588437,100,11.4958368,13,0,0,0,100
420,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.01020408163265306,0.517588437,100,11.4958368,14,0,0,0,100
457,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.01020408163265306,0.517588437,100,11.4958368,15,0,0,100,0
339,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.01020408163265306,0.517588437,100,11.4958368,16,0,0,0,100
384,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.01020408163265306,0.517588437,100,11.4958368,17,0,0,0,100
263,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.01020408163265306,0.517588437,100,11.4958368,18,0,0,0,100
302,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.01020408163265306,0.517588437,100,11.4958368,19,0,0,0,100
328,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.02040816326530612,0.517588437,100,11.4958368,20,0,0,0,100
367,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.02040816326530612,0.517588437,100,11.4958368,21,0,0,0,100
250,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.02040816326530612,0.517588437,100,11.4958368,22,0,0,0,100
292,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.02040816326530612,0.517588437,100,11.4958368,23,0,0,100,0
476,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.02040816326530612,0.517588437,100,11.4958368,24,0,0,0,100
12,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.02040816326530612,0.517588437,100,11.4958368,25,0,0,0,100
407,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.02040816326530612,0.517588437,100,11.4958368,26,0,0,0,100
445,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.02040816326530612,0.517588437,100,11.4958368,27,0,0,0,100
119,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.02040816326530612,0.517588437,100,11.4958368,28,0,0,0,100
156,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.02040816326530612,0.517588437,100,11.4958368,29,0,0,0,100
447,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.030612244897959183,0.517588437,100,11.4958368,30,0,0,0,100
159,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.030612244897959183,0.517588437,100,11.4958368,31,0,0,0,100
112,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.030612244897959183,0.517588437,100,11.4958368,32,0,0,0,100
438,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.030612244897959183,0.517588437,100,11.4958368,33,0,0,0,100
38,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.030612244897959183,0.517588437,100,11.4958368,34,0,0,0,100
496,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.030612244897959183,0.517588437,100,11.4958368,35,0,0,0,100
256,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.030612244897959183,0.517588437,100,11.4958368,36,0,0,0,100
308,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.030612244897959183,0.517588437,100,11.4958368,37,0,0,0,100
183,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.030612244897959183,0.517588437,100,11.4958368,38,0,0,0,100
217,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.030612244897959183,0.517588437,100,11.4958368,39,0,0,0,100
406,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.04081632653061224,0.517588437,100,11.4958368,40,25,24,0,51
138,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.04081632653061224,0.517588437,100,11.4958368,41,19,7,0,74
327,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.04081632653061224,0.517588437,100,11.4958368,42,0,0,0,100
194,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.04081632653061224,0.517588437,100,11.4958368,43,12,3,0,85
45,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.04081632653061224,0.517588437,100,11.4958368,44,0,0,0,100
78,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.04081632653061224,0.517588437,100,11.4958368,45,22,16,0,62
475,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.04081632653061224,0.517588437,100,11.4958368,46,0,0,0,100
11,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.04081632653061224,0.517588437,100,11.4958368,47,0,0,0,100
277,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.04081632653061224,0.517588437,100,11.4958368,48,0,0,0,100
315,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.04081632653061224,0.517588437,100,11.4958368,49,39,20,0,41
215,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0510204081632653,0.517588437,100,11.4958368,50,47,18,0,35
254,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0510204081632653,0.517588437,100,11.4958368,51,38,28,0,34
449,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0510204081632653,0.517588437,100,11.4958368,52,29,22,0,49
482,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0510204081632653,0.517588437,100,11.4958368,53,0,0,0,100
373,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0510204081632653,0.517588437,100,11.4958368,54,36,18,0,46
412,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0510204081632653,0.517588437,100,11.4958368,55,23,16,0,61
2,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0510204081632653,0.517588437,100,11.4958368,56,26,18,0,56
34,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0510204081632653,0.517588437,100,11.4958368,57,19,15,0,66
435,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0510204081632653,0.517588437,100,11.4958368,58,31,14,0,55
466,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.0510204081632653,0.517588437,100,11.4958368,59,0,0,0,100
279,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.061224489795918366,0.517588437,100,11.4958368,60,29,31,0,40
