,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
198,0.560426548,0.0,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,0,0,0,100,0
246,0.560426548,0.0,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,1,0,0,100,0
117,0.560426548,0.0,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,2,0,0,100,0
270,0.560426548,0.0,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,3,0,0,100,0
93,0.560426548,0.0,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,4,0,0,100,0
336,0.560426548,0.0,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,5,0,0,100,0
287,0.560426548,0.0,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,6,0,0,100,0
394,0.560426548,0.0,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,7,0,0,100,0
418,0.560426548,0.0,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,8,0,0,100,0
228,0.560426548,0.0,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,9,0,0,100,0
300,0.560426548,0.02040816326530612,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,10,0,0,100,0
152,0.560426548,0.02040816326530612,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,11,0,0,100,0
358,0.560426548,0.02040816326530612,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,12,0,0,100,0
392,0.560426548,0.02040816326530612,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,13,0,0,100,0
153,0.560426548,0.02040816326530612,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,14,0,0,100,0
323,0.560426548,0.02040816326530612,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,15,0,0,100,0
332,0.560426548,0.02040816326530612,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,16,0,0,100,0
170,0.560426548,0.02040816326530612,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,17,0,0,100,0
256,0.560426548,0.02040816326530612,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,18,0,0,100,0
297,0.560426548,0.02040816326530612,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,19,0,0,100,0
224,0.560426548,0.04081632653061224,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,20,0,0,100,0
268,0.560426548,0.04081632653061224,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,21,0,0,100,0
136,0.560426548,0.04081632653061224,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,22,0,0,100,0
179,0.560426548,0.04081632653061224,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,23,0,0,100,0
296,0.560426548,0.04081632653061224,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,11.4958368,24,0,0,100,0
