,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
86,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.0,100,11.4958368,0,0,0,100,0
126,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.0,100,11.4958368,1,0,0,100,0
8,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.0,100,11.4958368,2,0,0,100,0
44,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.0,100,11.4958368,3,0,0,100,0
239,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.0,100,11.4958368,4,0,0,100,0
282,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.0,100,11.4958368,5,0,0,100,0
165,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.0,100,11.4958368,6,0,0,100,0
204,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.0,100,11.4958368,7,0,0,100,0
305,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.0,100,11.4958368,8,0,0,100,0
340,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.0,100,11.4958368,9,0,0,100,0
56,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.02040816326530612,100,11.4958368,10,0,0,100,0
98,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.02040816326530612,100,11.4958368,11,0,0,100,0
358,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.02040816326530612,100,11.4958368,12,0,0,100,0
327,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.02040816326530612,100,11.4958368,13,0,0,100,0
212,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.02040816326530612,100,11.4958368,14,47,28,0,25
250,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.02040816326530612,100,11.4958368,15,0,0,100,0
264,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.02040816326530612,100,11.4958368,16,32,15,0,53
302,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.02040816326530612,100,11.4958368,17,0,0,100,0
186,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.02040816326530612,100,11.4958368,18,0,0,100,0
225,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.02040816326530612,100,11.4958368,19,0,0,100,0
75,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.04081632653061224,100,11.4958368,20,0,0,100,0
