,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
160,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,3,0,0,0,0,100
40,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,3,1,29,16,0,55
62,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,3,2,36,5,0,59
109,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,3,3,20,14,0,66
16,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,3,4,0,0,0,100
71,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,3,5,0,0,0,100
89,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,3,6,0,0,0,100
139,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,3,7,0,0,0,100
49,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,3,8,0,0,0,100
98,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,3,9,0,0,0,100
107,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,4,10,24,11,0,65
59,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,4,11,0,0,0,100
7,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,4,12,0,0,0,100
127,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,4,13,24,15,0,61
81,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,4,14,0,0,0,100
28,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,4,15,0,0,0,100
43,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,4,16,0,0,0,100
163,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,4,17,0,0,0,100
111,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,4,18,29,26,0,45
64,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,4,19,0,0,0,100
6,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,5,20,15,14,0,71
58,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,5,21,0,0,0,100
106,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,5,22,34,12,0,54
155,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,5,23,52,14,0,34
94,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,5,24,0,0,0,100
144,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,5,25,42,24,0,34
22,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,5,26,0,0,0,100
76,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,5,27,42,10,0,48
67,0.560426548,0.486656242,0.523613688,0.544587569,0.08,0.274353174,0.517588437,100,5,28,44,27,0,29
