,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
144,0.560426548,0.486656242,0.523613688,0.0,0.15,0.274353174,0.517588437,100,11.4958368,0,0,0,100,0
188,0.560426548,0.486656242,0.523613688,0.0,0.15,0.274353174,0.517588437,100,11.4958368,1,0,0,0,100
80,0.560426548,0.486656242,0.523613688,0.0,0.15,0.274353174,0.517588437,100,11.4958368,2,0,0,0,100
111,0.560426548,0.486656242,0.523613688,0.0,0.15,0.274353174,0.517588437,100,11.4958368,3,0,0,0,100
304,0.560426548,0.486656242,0.523613688,0.0,0.15,0.274353174,0.517588437,100,11.4958368,4,0,0,0,100
345,0.560426548,0.486656242,0.523613688,0.0,0.15,0.274353174,0.517588437,100,11.4958368,5,0,0,0,100
396,0.560426548,0.486656242,0.523613688,0.0,0.15,0.274353174,0.517588437,100,11.4958368,6,0,0,0,100
248,0.560426548,0.486656242,0.523613688,0.0,0.15,0.274353174,0.517588437,100,11.4958368,7,0,0,0,100
183,0.560426548,0.486656242,0.523613688,0.0,0.15,0.274353174,0.517588437,100,11.4958368,8,0,0,0,100
409,0.560426548,0.486656242,0.523613688,0.0,0.15,0.274353174,0.517588437,100,11.4958368,9,0,0,0,100
124,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,10,0,0,0,100
219,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,11,0,0,0,100
492,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,12,0,0,0,100
162,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,13,0,0,0,100
426,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,14,0,0,100,0
460,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,15,0,0,0,100
470,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,16,0,0,0,100
2,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,17,0,0,0,100
400,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,18,0,0,0,100
435,0.560426548,0.486656242,0.523613688,0.02040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,19,0,0,0,100
331,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.15,0.274353174,0.517588437,100,11.4958368,20,0,0,100,0
213,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.15,0.274353174,0.517588437,100,11.4958368,21,0,0,0,100
224,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.15,0.274353174,0.517588437,100,11.4958368,22,0,0,0,100
261,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.15,0.274353174,0.517588437,100,11.4958368,23,0,0,0,100
371,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.15,0.274353174,0.517588437,100,11.4958368,24,0,0,0,100
420,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.15,0.274353174,0.517588437,100,11.4958368,25,0,0,100,0
288,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.15,0.274353174,0.517588437,100,11.4958368,26,0,0,0,100
475,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.15,0.274353174,0.517588437,100,11.4958368,27,0,0,0,100
12,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.15,0.274353174,0.517588437,100,11.4958368,28,0,0,0,100
45,0.560426548,0.486656242,0.523613688,0.04081632653061224,0.15,0.274353174,0.517588437,100,11.4958368,29,0,0,0,100
339,0.560426548,0.486656242,0.523613688,0.061224489795918366,0.15,0.274353174,0.517588437,100,11.4958368,30,0,0,0,100
382,0.560426548,0.486656242,0.523613688,0.061224489795918366,0.15,0.274353174,0.517588437,100,11.4958368,31,0,0,0,100
313,0.560426548,0.486656242,0.523613688,0.061224489795918366,0.15,0.274353174,0.517588437,100,11.4958368,32,0,0,0,100
355,0.560426548,0.486656242,0.523613688,0.061224489795918366,0.15,0.274353174,0.517588437,100,11.4958368,33,0,0,0,100
233,0.560426548,0.486656242,0.523613688,0.061224489795918366,0.15,0.274353174,0.517588437,100,11.4958368,34,0,0,82,18
270,0.560426548,0.486656242,0.523613688,0.061224489795918366,0.15,0.274353174,0.517588437,100,11.4958368,35,0,0,0,100
466,0.560426548,0.486656242,0.523613688,0.061224489795918366,0.15,0.274353174,0.517588437,100,11.4958368,36,0,0,100,0
496,0.560426548,0.486656242,0.523613688,0.061224489795918366,0.15,0.274353174,0.517588437,100,11.4958368,37,0,0,0,100
394,0.560426548,0.486656242,0.523613688,0.061224489795918366,0.15,0.274353174,0.517588437,100,11.4958368,38,0,0,0,100
432,0.560426548,0.486656242,0.523613688,0.061224489795918366,0.15,0.274353174,0.517588437,100,11.4958368,39,0,0,0,100
62,0.560426548,0.486656242,0.523613688,0.08163265306122448,0.15,0.274353174,0.517588437,100,11.4958368,40,0,0,0,100
281,0.560426548,0.486656242,0.523613688,0.08163265306122448,0.15,0.274353174,0.517588437,100,11.4958368,41,0,0,0,100
118,0.560426548,0.486656242,0.523613688,0.08163265306122448,0.15,0.274353174,0.517588437,100,11.4958368,42,0,0,0,100
352,0.560426548,0.486656242,0.523613688,0.08163265306122448,0.15,0.274353174,0.517588437,100,11.4958368,43,0,0,100,0
325,0.560426548,0.486656242,0.523613688,0.08163265306122448,0.15,0.274353174,0.517588437,100,11.4958368,44,0,0,0,100
364,0.560426548,0.486656242,0.523613688,0.08163265306122448,0.15,0.274353174,0.517588437,100,11.4958368,45,0,0,100,0
242,0.560426548,0.486656242,0.523613688,0.08163265306122448,0.15,0.274353174,0.517588437,100,11.4958368,46,0,0,0,100
282,0.560426548,0.486656242,0.523613688,0.08163265306122448,0.15,0.274353174,0.517588437,100,11.4958368,47,0,0,0,100
390,0.560426548,0.486656242,0.523613688,0.08163265306122448,0.15,0.274353174,0.517588437,100,11.4958368,48,0,0,0,100
428,0.560426548,0.486656242,0.523613688,0.08163265306122448,0.15,0.274353174,0.517588437,100,11.4958368,49,0,0,0,100
471,0.560426548,0.486656242,0.523613688,0.1020408163265306,0.15,0.274353174,0.517588437,100,11.4958368,50,0,0,0,100
3,0.560426548,0.486656242,0.523613688,0.1020408163265306,0.15,0.274353174,0.517588437,100,11.4958368,51,0,0,0,100
180,0.560426548,0.486656242,0.523613688,0.1020408163265306,0.15,0.274353174,0.517588437,100,11.4958368,52,0,0,16,84
217,0.560426548,0.486656242,0.523613688,0.1020408163265306,0.15,0.274353174,0.517588437,100,11.4958368,53,0,0,0,100
105,0.560426548,0.486656242,0.523613688,0.1020408163265306,0.15,0.274353174,0.517588437,100,11.4958368,54,0,0,100,0
138,0.560426548,0.486656242,0.523613688,0.1020408163265306,0.15,0.274353174,0.517588437,100,11.4958368,55,0,0,0,100
239,0.560426548,0.486656242,0.523613688,0.1020408163265306,0.15,0.274353174,0.517588437,100,11.4958368,56,0,0,0,100
279,0.560426548,0.486656242,0.523613688,0.1020408163265306,0.15,0.274353174,0.517588437,100,11.4958368,57,0,0,0,100
163,0.560426548,0.486656242,0.523613688,0.1020408163265306,0.15,0.274353174,0.517588437,100,11.4958368,58,0,0,0,100
202,0.560426548,0.486656242,0.523613688,0.1020408163265306,0.15,0.274353174,0.517588437,100,11.4958368,59,0,0,0,100
280,0.560426548,0.486656242,0.523613688,0.12244897959183673,0.15,0.274353174,0.517588437,100,11.4958368,60,0,0,0,100
323,0.560426548,0.486656242,0.523613688,0.12244897959183673,0.15,0.274353174,0.517588437,100,11.4958368,61,0,0,0,100
203,0.560426548,0.486656242,0.523613688,0.12244897959183673,0.15,0.274353174,0.517588437,100,11.4958368,62,0,0,100,0
240,0.560426548,0.486656242,0.523613688,0.12244897959183673,0.15,0.274353174,0.517588437,100,11.4958368,63,0,0,100,0
351,0.560426548,0.486656242,0.523613688,0.12244897959183673,0.15,0.274353174,0.517588437,100,11.4958368,64,0,0,0,100
389,0.560426548,0.486656242,0.523613688,0.12244897959183673,0.15,0.274353174,0.517588437,100,11.4958368,65,0,0,0,100
266,0.560426548,0.486656242,0.523613688,0.12244897959183673,0.15,0.274353174,0.517588437,100,11.4958368,66,0,0,0,100
311,0.560426548,0.486656242,0.523613688,0.12244897959183673,0.15,0.274353174,0.517588437,100,11.4958368,67,0,0,0,100
458,0.560426548,0.486656242,0.523613688,0.12244897959183673,0.15,0.274353174,0.517588437,100,11.4958368,68,0,0,0,100
28,0.560426548,0.486656242,0.523613688,0.12244897959183673,0.15,0.274353174,0.517588437,100,11.4958368,69,0,0,0,100
255,0.560426548,0.486656242,0.523613688,0.14285714285714285,0.15,0.274353174,0.517588437,100,11.4958368,70,0,0,0,100
296,0.560426548,0.486656242,0.523613688,0.14285714285714285,0.15,0.274353174,0.517588437,100,11.4958368,71,0,0,0,100
402,0.560426548,0.486656242,0.523613688,0.14285714285714285,0.15,0.274353174,0.517588437,100,11.4958368,72,0,0,0,100
438,0.560426548,0.486656242,0.523613688,0.14285714285714285,0.15,0.274353174,0.517588437,100,11.4958368,73,0,0,0,100
324,0.560426548,0.486656242,0.523613688,0.14285714285714285,0.15,0.274353174,0.517588437,100,11.4958368,74,0,0,0,100
363,0.560426548,0.486656242,0.523613688,0.14285714285714285,0.15,0.274353174,0.517588437,100,11.4958368,75,0,0,0,100
40,0.560426548,0.486656242,0.523613688,0.14285714285714285,0.15,0.274353174,0.517588437,100,11.4958368,76,0,0,0,100
74,0.560426548,0.486656242,0.523613688,0.14285714285714285,0.15,0.274353174,0.517588437,100,11.4958368,77,0,0,0,100
473,0.560426548,0.486656242,0.523613688,0.14285714285714285,0.15,0.274353174,0.517588437,100,11.4958368,78,0,0,0,100
5,0.560426548,0.486656242,0.523613688,0.14285714285714285,0.15,0.274353174,0.517588437,100,11.4958368,79,0,0,0,100
67,0.560426548,0.486656242,0.523613688,0.16326530612244897,0.15,0.274353174,0.517588437,100,11.4958368,80,0,0,0,100
102,0.560426548,0.486656242,0.523613688,0.16326530612244897,0.15,0.274353174,0.517588437,100,11.4958368,81,0,0,96,4
498,0.560426548,0.486656242,0.523613688,0.16326530612244897,0.15,0.274353174,0.517588437,100,11.4958368,82,0,0,0,100
33,0.560426548,0.486656242,0.523613688,0.16326530612244897,0.15,0.274353174,0.517588437,100,11.4958368,83,0,0,0,100
210,0.560426548,0.486656242,0.523613688,0.16326530612244897,0.15,0.274353174,0.517588437,100,11.4958368,84,0,0,0,100
247,0.560426548,0.486656242,0.523613688,0.16326530612244897,0.15,0.274353174,0.517588437,100,11.4958368,85,0,0,0,100
134,0.560426548,0.486656242,0.523613688,0.16326530612244897,0.15,0.274353174,0.517588437,100,11.4958368,86,0,0,0,100
173,0.560426548,0.486656242,0.523613688,0.16326530612244897,0.15,0.274353174,0.517588437,100,11.4958368,87,0,0,0,100
272,0.560426548,0.486656242,0.523613688,0.16326530612244897,0.15,0.274353174,0.517588437,100,11.4958368,88,0,0,0,100
315,0.560426548,0.486656242,0.523613688,0.16326530612244897,0.15,0.274353174,0.517588437,100,11.4958368,89,0,0,0,100
47,0.560426548,0.486656242,0.523613688,0.18367346938775508,0.15,0.274353174,0.517588437,100,11.4958368,90,0,0,0,100
83,0.560426548,0.486656242,0.523613688,0.18367346938775508,0.15,0.274353174,0.517588437,100,11.4958368,91,0,0,0,100
262,0.560426548,0.486656242,0.523613688,0.18367346938775508,0.15,0.274353174,0.517588437,100,11.4958368,92,0,0,0,100
306,0.560426548,0.486656242,0.523613688,0.18367346938775508,0.15,0.274353174,0.517588437,100,11.4958368,93,0,0,0,100
189,0.560426548,0.486656242,0.523613688,0.18367346938775508,0.15,0.274353174,0.517588437,100,11.4958368,94,0,0,0,100
225,0.560426548,0.486656242,0.523613688,0.18367346938775508,0.15,0.274353174,0.517588437,100,11.4958368,95,0,0,0,100
332,0.560426548,0.486656242,0.523613688,0.18367346938775508,0.15,0.274353174,0.517588437,100,11.4958368,96,0,0,0,100
374,0.560426548,0.486656242,0.523613688,0.18367346938775508,0.15,0.274353174,0.517588437,100,11.4958368,97,0,0,0,100
249,0.560426548,0.486656242,0.523613688,0.18367346938775508,0.15,0.274353174,0.517588437,100,11.4958368,98,0,0,0,100
289,0.560426548,0.486656242,0.523613688,0.18367346938775508,0.15,0.274353174,0.517588437,100,11.4958368,99,0,0,0,100
451,0.560426548,0.486656242,0.523613688,0.2040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,100,0,0,0,100
483,0.560426548,0.486656242,0.523613688,0.2040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,101,0,0,0,100
380,0.560426548,0.486656242,0.523613688,0.2040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,102,0,0,0,100
417,0.560426548,0.486656242,0.523613688,0.2040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,103,0,0,0,100
4,0.560426548,0.486656242,0.523613688,0.2040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,104,0,0,0,100
39,0.560426548,0.486656242,0.523613688,0.2040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,105,0,0,0,100
437,0.560426548,0.486656242,0.523613688,0.2040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,106,0,0,0,100
472,0.560426548,0.486656242,0.523613688,0.2040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,107,0,0,0,100
140,0.560426548,0.486656242,0.523613688,0.2040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,108,0,0,0,100
181,0.560426548,0.486656242,0.523613688,0.2040816326530612,0.15,0.274353174,0.517588437,100,11.4958368,109,0,0,0,100
429,0.560426548,0.486656242,0.523613688,0.22448979591836732,0.15,0.274353174,0.517588437,100,11.4958368,110,0,0,0,100
463,0.560426548,0.486656242,0.523613688,0.22448979591836732,0.15,0.274353174,0.517588437,100,11.4958368,111,0,0,0,100
51,0.560426548,0.486656242,0.523613688,0.22448979591836732,0.15,0.274353174,0.517588437,100,11.4958368,112,0,0,0,100
55,0.560426548,0.486656242,0.523613688,0.22448979591836732,0.15,0.274353174,0.517588437,100,11.4958368,113,0,0,0,100
193,0.560426548,0.486656242,0.523613688,0.22448979591836732,0.15,0.274353174,0.517588437,100,11.4958368,114,0,0,0,100
110,0.560426548,0.486656242,0.523613688,0.22448979591836732,0.15,0.274353174,0.517588437,100,11.4958368,115,0,0,0,100
211,0.560426548,0.486656242,0.523613688,0.22448979591836732,0.15,0.274353174,0.517588437,100,11.4958368,116,0,0,0,100
443,0.560426548,0.486656242,0.523613688,0.22448979591836732,0.15,0.274353174,0.517588437,100,11.4958368,117,0,0,0,100
273,0.560426548,0.486656242,0.523613688,0.22448979591836732,0.15,0.274353174,0.517588437,100,11.4958368,118,0,0,0,100
152,0.560426548,0.486656242,0.523613688,0.22448979591836732,0.15,0.274353174,0.517588437,100,11.4958368,119,0,0,0,100
14,0.560426548,0.486656242,0.523613688,0.24489795918367346,0.15,0.274353174,0.517588437,100,11.4958368,120,0,0,100,0
48,0.560426548,0.486656242,0.523613688,0.24489795918367346,0.15,0.274353174,0.517588437,100,11.4958368,121,0,0,0,100
131,0.560426548,0.486656242,0.523613688,0.24489795918367346,0.15,0.274353174,0.517588437,100,11.4958368,122,0,0,0,100
368,0.560426548,0.486656242,0.523613688,0.24489795918367346,0.15,0.274353174,0.517588437,100,11.4958368,123,0,0,0,100
115,0.560426548,0.486656242,0.523613688,0.24489795918367346,0.15,0.274353174,0.517588437,100,11.4958368,124,0,0,0,100
172,0.560426548,0.486656242,0.523613688,0.24489795918367346,0.15,0.274353174,0.517588437,100,11.4958368,125,0,0,0,100
84,0.560426548,0.486656242,0.523613688,0.24489795918367346,0.15,0.274353174,0.517588437,100,11.4958368,126,0,0,0,100
113,0.560426548,0.486656242,0.523613688,0.24489795918367346,0.15,0.274353174,0.517588437,100,11.4958368,127,0,0,0,100
30,0.560426548,0.486656242,0.523613688,0.24489795918367346,0.15,0.274353174,0.517588437,100,11.4958368,128,0,0,0,100
64,0.560426548,0.486656242,0.523613688,0.24489795918367346,0.15,0.274353174,0.517588437,100,11.4958368,129,0,0,0,100
403,0.560426548,0.486656242,0.523613688,0.26530612244897955,0.15,0.274353174,0.517588437,100,11.4958368,130,0,0,0,100
439,0.560426548,0.486656242,0.523613688,0.26530612244897955,0.15,0.274353174,0.517588437,100,11.4958368,131,0,0,0,100
106,0.560426548,0.486656242,0.523613688,0.26530612244897955,0.15,0.274353174,0.517588437,100,11.4958368,132,0,0,0,100
141,0.560426548,0.486656242,0.523613688,0.26530612244897955,0.15,0.274353174,0.517588437,100,11.4958368,133,0,0,0,100
41,0.560426548,0.486656242,0.523613688,0.26530612244897955,0.15,0.274353174,0.517588437,100,11.4958368,134,0,0,0,100
75,0.560426548,0.486656242,0.523613688,0.26530612244897955,0.15,0.274353174,0.517588437,100,11.4958368,135,0,0,0,100
166,0.560426548,0.486656242,0.523613688,0.26530612244897955,0.15,0.274353174,0.517588437,100,11.4958368,136,0,0,100,0
205,0.560426548,0.486656242,0.523613688,0.26530612244897955,0.15,0.274353174,0.517588437,100,11.4958368,137,0,0,0,100
96,0.560426548,0.486656242,0.523613688,0.26530612244897955,0.15,0.274353174,0.517588437,100,11.4958368,138,0,0,0,100
128,0.560426548,0.486656242,0.523613688,0.26530612244897955,0.15,0.274353174,0.517588437,100,11.4958368,139,0,0,0,100
68,0.560426548,0.486656242,0.523613688,0.2857142857142857,0.15,0.274353174,0.517588437,100,11.4958368,140,0,0,0,100
103,0.560426548,0.486656242,0.523613688,0.2857142857142857,0.15,0.274353174,0.517588437,100,11.4958368,141,0,0,0,100
0,0.560426548,0.486656242,0.523613688,0.2857142857142857,0.15,0.274353174,0.517588437,100,11.4958368,142,0,0,0,100
34,0.560426548,0.486656242,0.523613688,0.2857142857142857,0.15,0.274353174,0.517588437,100,11.4958368,143,0,0,100,0
123,0.560426548,0.486656242,0.523613688,0.2857142857142857,0.15,0.274353174,0.517588437,100,11.4958368,144,0,0,0,100
159,0.560426548,0.486656242,0.523613688,0.2857142857142857,0.15,0.274353174,0.517588437,100,11.4958368,145,0,0,0,100
56,0.560426548,0.486656242,0.523613688,0.2857142857142857,0.15,0.274353174,0.517588437,100,11.4958368,146,0,0,0,100
91,0.560426548,0.486656242,0.523613688,0.2857142857142857,0.15,0.274353174,0.517588437,100,11.4958368,147,0,0,0,100
274,0.560426548,0.486656242,0.523613688,0.2857142857142857,0.15,0.274353174,0.517588437,100,11.4958368,148,0,0,0,100
317,0.560426548,0.486656242,0.523613688,0.2857142857142857,0.15,0.274353174,0.517588437,100,11.4958368,149,0,0,0,100
401,0.560426548,0.486656242,0.523613688,0.3061224489795918,0.15,0.274353174,0.517588437,100,11.4958368,150,0,0,0,100
436,0.560426548,0.486656242,0.523613688,0.3061224489795918,0.15,0.274353174,0.517588437,100,11.4958368,151,0,0,0,100
29,0.560426548,0.486656242,0.523613688,0.3061224489795918,0.15,0.274353174,0.517588437,100,11.4958368,152,0,0,0,100
61,0.560426548,0.486656242,0.523613688,0.3061224489795918,0.15,0.274353174,0.517588437,100,11.4958368,153,0,0,0,100
461,0.560426548,0.486656242,0.523613688,0.3061224489795918,0.15,0.274353174,0.517588437,100,11.4958368,154,0,0,0,100
493,0.560426548,0.486656242,0.523613688,0.3061224489795918,0.15,0.274353174,0.517588437,100,11.4958368,155,0,0,0,100
164,0.560426548,0.486656242,0.523613688,0.3061224489795918,0.15,0.274353174,0.517588437,100,11.4958368,156,0,0,0,100
204,0.560426548,0.486656242,0.523613688,0.3061224489795918,0.15,0.274353174,0.517588437,100,11.4958368,157,0,0,0,100
95,0.560426548,0.486656242,0.523613688,0.3061224489795918,0.15,0.274353174,0.517588437,100,11.4958368,158,0,0,0,100
127,0.560426548,0.486656242,0.523613688,0.3061224489795918,0.15,0.274353174,0.517588437,100,11.4958368,159,0,0,0,100
488,0.560426548,0.486656242,0.523613688,0.32653061224489793,0.15,0.274353174,0.517588437,100,11.4958368,160,0,0,0,100
24,0.560426548,0.486656242,0.523613688,0.32653061224489793,0.15,0.274353174,0.517588437,100,11.4958368,161,0,0,0,100
422,0.560426548,0.486656242,0.523613688,0.32653061224489793,0.15,0.274353174,0.517588437,100,11.4958368,162,0,0,0,100
455,0.560426548,0.486656242,0.523613688,0.32653061224489793,0.15,0.274353174,0.517588437,100,11.4958368,163,0,0,0,100
121,0.560426548,0.486656242,0.523613688,0.32653061224489793,0.15,0.274353174,0.517588437,100,11.4958368,164,0,0,0,100
157,0.560426548,0.486656242,0.523613688,0.32653061224489793,0.15,0.274353174,0.517588437,100,11.4958368,165,0,0,0,100
54,0.560426548,0.486656242,0.523613688,0.32653061224489793,0.15,0.274353174,0.517588437,100,11.4958368,166,0,0,100,0
89,0.560426548,0.486656242,0.523613688,0.32653061224489793,0.15,0.274353174,0.517588437,100,11.4958368,167,0,0,0,100
186,0.560426548,0.486656242,0.523613688,0.32653061224489793,0.15,0.274353174,0.517588437,100,11.4958368,168,0,0,100,0
222,0.560426548,0.486656242,0.523613688,0.32653061224489793,0.15,0.274353174,0.517588437,100,11.4958368,169,0,0,0,100
377,0.560426548,0.486656242,0.523613688,0.3469387755102041,0.15,0.274353174,0.517588437,100,11.4958368,170,0,0,0,100
414,0.560426548,0.486656242,0.523613688,0.3469387755102041,0.15,0.274353174,0.517588437,100,11.4958368,171,0,0,0,100
37,0.560426548,0.486656242,0.523613688,0.3469387755102041,0.15,0.274353174,0.517588437,100,11.4958368,172,0,0,0,100
252,0.560426548,0.486656242,0.523613688,0.3469387755102041,0.15,0.274353174,0.517588437,100,11.4958368,173,0,0,0,100
17,0.560426548,0.486656242,0.523613688,0.3469387755102041,0.15,0.274353174,0.517588437,100,11.4958368,174,0,0,0,100
321,0.560426548,0.486656242,0.523613688,0.3469387755102041,0.15,0.274353174,0.517588437,100,11.4958368,175,0,0,0,100
137,0.560426548,0.486656242,0.523613688,0.3469387755102041,0.15,0.274353174,0.517588437,100,11.4958368,176,0,0,0,100
9,0.560426548,0.486656242,0.523613688,0.3469387755102041,0.15,0.274353174,0.517588437,100,11.4958368,177,0,0,0,100
72,0.560426548,0.486656242,0.523613688,0.3469387755102041,0.15,0.274353174,0.517588437,100,11.4958368,178,0,0,100,0
104,0.560426548,0.486656242,0.523613688,0.3469387755102041,0.15,0.274353174,0.517588437,100,11.4958368,179,0,0,0,100
