,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
447,0.0,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,0,0,0,0,100
171,0.0,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,1,0,0,0,100
83,0.0,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,2,0,0,100,0
122,0.0,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,3,0,0,100,0
303,0.0,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,4,0,0,100,0
338,0.0,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,5,0,0,0,100
228,0.0,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,6,0,0,100,0
266,0.0,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,7,0,0,100,0
362,0.0,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,8,0,0,100,0
401,0.0,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,9,0,0,100,0
462,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,10,0,0,100,0
360,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,11,0,0,0,100
47,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,12,0,0,0,100
1,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,13,0,0,0,100
474,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,14,0,0,100,0
11,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,15,0,0,100,0
190,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,16,0,0,100,0
226,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,17,0,0,0,100
120,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,18,0,0,100,0
437,0.02040816326530612,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,19,0,0,100,0
25,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,20,0,0,100,0
58,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,21,0,0,0,100
448,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,22,0,0,100,0
485,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,23,0,0,0,100
82,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,24,0,0,100,0
121,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,25,0,0,100,0
12,0.04081632653061224,0.486656242,0.523613688,0.544587569,0.15,0.274353174,0.517588437,100,11.4958368,26,0,0,0,100
