,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
127,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,10,11.4958368,0,2,6,0,2
159,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,10,11.4958368,1,0,0,0,10
186,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,10,11.4958368,2,2,4,0,4
23,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,10,11.4958368,3,2,5,0,3
51,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,10,11.4958368,4,1,1,0,8
79,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,10,11.4958368,5,0,0,0,10
107,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,10,11.4958368,6,0,0,0,10
135,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,10,11.4958368,7,1,3,0,6
95,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,10,11.4958368,8,1,2,0,7
121,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,10,11.4958368,9,0,0,0,10
35,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,20,11.4958368,10,5,8,0,7
64,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,20,11.4958368,11,8,4,0,8
13,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,20,11.4958368,12,4,4,0,12
41,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,20,11.4958368,13,0,0,0,20
149,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,20,11.4958368,14,3,5,0,12
176,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,20,11.4958368,15,5,9,0,6
1,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,20,11.4958368,16,4,7,0,9
28,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,20,11.4958368,17,0,0,0,20
137,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,20,11.4958368,18,2,1,0,17
164,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,20,11.4958368,19,7,6,0,7
6,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,30,11.4958368,20,0,0,0,30
26,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,30,11.4958368,21,7,4,0,19
3,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,30,11.4958368,22,0,0,0,30
171,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,30,11.4958368,23,7,10,0,13
152,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,30,11.4958368,24,0,0,0,30
128,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,30,11.4958368,25,5,7,0,18
108,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,30,11.4958368,26,6,5,0,19
43,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,30,11.4958368,27,0,0,0,30
54,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,30,11.4958368,28,10,13,0,7
80,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,30,11.4958368,29,7,12,0,11
154,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,40,11.4958368,30,14,10,0,16
182,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,40,11.4958368,31,9,14,0,17
102,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,40,11.4958368,32,15,19,0,6
131,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,40,11.4958368,33,13,11,0,16
46,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,40,11.4958368,34,9,8,0,23
73,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,40,11.4958368,35,17,15,0,8
183,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,40,11.4958368,36,13,15,0,12
20,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,40,11.4958368,37,14,10,0,16
124,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,40,11.4958368,38,0,0,0,40
155,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,40,11.4958368,39,14,9,0,17
115,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,50,11.4958368,40,12,6,0,32
147,0.560426548,0.486656242,0.523613688,0.544587569,0.11,0.274353174,0.517588437,50,11.4958368,41,17,19,0,14
