,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
258,0.560426548,0.486656242,0.523613688,0.544587569,0.0,0.274353174,0.517588437,100,11.4958368,0,5,95,0,0
295,0.560426548,0.486656242,0.523613688,0.544587569,0.0,0.274353174,0.517588437,100,11.4958368,1,7,93,0,0
70,0.560426548,0.486656242,0.523613688,0.544587569,0.0,0.274353174,0.517588437,100,11.4958368,2,7,93,0,0
481,0.560426548,0.486656242,0.523613688,0.544587569,0.0,0.274353174,0.517588437,100,11.4958368,3,3,97,0,0
395,0.560426548,0.486656242,0.523613688,0.544587569,0.0,0.274353174,0.517588437,100,11.4958368,4,5,95,0,0
429,0.560426548,0.486656242,0.523613688,0.544587569,0.0,0.274353174,0.517588437,100,11.4958368,5,7,93,0,0
327,0.560426548,0.486656242,0.523613688,0.544587569,0.0,0.274353174,0.517588437,100,11.4958368,6,10,90,0,0
362,0.560426548,0.486656242,0.523613688,0.544587569,0.0,0.274353174,0.517588437,100,11.4958368,7,6,94,0,0
457,0.560426548,0.486656242,0.523613688,0.544587569,0.0,0.274353174,0.517588437,100,11.4958368,8,5,95,0,0
86,0.560426548,0.486656242,0.523613688,0.544587569,0.0,0.274353174,0.517588437,100,11.4958368,9,7,93,0,0
358,0.560426548,0.486656242,0.523613688,0.544587569,0.02040816326530612,0.274353174,0.517588437,100,11.4958368,10,41,52,0,7
391,0.560426548,0.486656242,0.523613688,0.544587569,0.02040816326530612,0.274353174,0.517588437,100,11.4958368,11,45,45,0,10
75,0.560426548,0.486656242,0.523613688,0.544587569,0.02040816326530612,0.274353174,0.517588437,100,11.4958368,12,51,36,0,13
109,0.560426548,0.486656242,0.523613688,0.544587569,0.02040816326530612,0.274353174,0.517588437,100,11.4958368,13,40,51,0,9
1,0.560426548,0.486656242,0.523613688,0.544587569,0.02040816326530612,0.274353174,0.517588437,100,11.4958368,14,45,49,0,6
39,0.560426548,0.486656242,0.523613688,0.544587569,0.02040816326530612,0.274353174,0.517588437,100,11.4958368,15,47,42,0,11
224,0.560426548,0.486656242,0.523613688,0.544587569,0.02040816326530612,0.274353174,0.517588437,100,11.4958368,16,35,57,0,8
269,0.560426548,0.486656242,0.523613688,0.544587569,0.02040816326530612,0.274353174,0.517588437,100,11.4958368,17,42,53,0,5
145,0.560426548,0.486656242,0.523613688,0.544587569,0.02040816326530612,0.274353174,0.517588437,100,11.4958368,18,40,57,0,3
122,0.560426548,0.486656242,0.523613688,0.544587569,0.02040816326530612,0.274353174,0.517588437,100,11.4958368,19,48,47,0,5
243,0.560426548,0.486656242,0.523613688,0.544587569,0.04081632653061224,0.274353174,0.517588437,100,11.4958368,20,45,41,0,14
287,0.560426548,0.486656242,0.523613688,0.544587569,0.04081632653061224,0.274353174,0.517588437,100,11.4958368,21,40,41,0,19
165,0.560426548,0.486656242,0.523613688,0.544587569,0.04081632653061224,0.274353174,0.517588437,100,11.4958368,22,48,31,0,21
203,0.560426548,0.486656242,0.523613688,0.544587569,0.04081632653061224,0.274353174,0.517588437,100,11.4958368,23,41,29,0,30
308,0.560426548,0.486656242,0.523613688,0.544587569,0.04081632653061224,0.274353174,0.517588437,100,11.4958368,24,36,49,0,15
341,0.560426548,0.486656242,0.523613688,0.544587569,0.04081632653061224,0.274353174,0.517588437,100,11.4958368,25,50,32,0,18
230,0.560426548,0.486656242,0.523613688,0.544587569,0.04081632653061224,0.274353174,0.517588437,100,11.4958368,26,38,48,0,14
274,0.560426548,0.486656242,0.523613688,0.544587569,0.04081632653061224,0.274353174,0.517588437,100,11.4958368,27,33,45,0,22
442,0.560426548,0.486656242,0.523613688,0.544587569,0.04081632653061224,0.274353174,0.517588437,100,11.4958368,28,57,37,0,6
483,0.560426548,0.486656242,0.523613688,0.544587569,0.04081632653061224,0.274353174,0.517588437,100,11.4958368,29,37,35,0,28
143,0.560426548,0.486656242,0.523613688,0.544587569,0.061224489795918366,0.274353174,0.517588437,100,11.4958368,30,48,37,0,15
111,0.560426548,0.486656242,0.523613688,0.544587569,0.061224489795918366,0.274353174,0.517588437,100,11.4958368,31,34,22,0,44
467,0.560426548,0.486656242,0.523613688,0.544587569,0.061224489795918366,0.274353174,0.517588437,100,11.4958368,32,34,37,0,29
158,0.560426548,0.486656242,0.523613688,0.544587569,0.061224489795918366,0.274353174,0.517588437,100,11.4958368,33,40,24,0,36
325,0.560426548,0.486656242,0.523613688,0.544587569,0.061224489795918366,0.274353174,0.517588437,100,11.4958368,34,37,33,0,30
87,0.560426548,0.486656242,0.523613688,0.544587569,0.061224489795918366,0.274353174,0.517588437,100,11.4958368,35,41,28,0,31
135,0.560426548,0.486656242,0.523613688,0.544587569,0.061224489795918366,0.274353174,0.517588437,100,11.4958368,36,49,28,0,23
361,0.560426548,0.486656242,0.523613688,0.544587569,0.061224489795918366,0.274353174,0.517588437,100,11.4958368,37,50,35,0,15
199,0.560426548,0.486656242,0.523613688,0.544587569,0.061224489795918366,0.274353174,0.517588437,100,11.4958368,38,37,21,0,42
420,0.560426548,0.486656242,0.523613688,0.544587569,0.061224489795918366,0.274353174,0.517588437,100,11.4958368,39,53,35,0,12
366,0.560426548,0.486656242,0.523613688,0.544587569,0.08163265306122448,0.274353174,0.517588437,100,11.4958368,40,34,24,0,42
409,0.560426548,0.486656242,0.523613688,0.544587569,0.08163265306122448,0.274353174,0.517588437,100,11.4958368,41,43,27,0,30
259,0.560426548,0.486656242,0.523613688,0.544587569,0.08163265306122448,0.274353174,0.517588437,100,11.4958368,42,30,25,0,45
74,0.560426548,0.486656242,0.523613688,0.544587569,0.08163265306122448,0.274353174,0.517588437,100,11.4958368,43,50,21,0,29
