,p_uf,p_pu,p_up,p_fl,p_lu,g,ratio,N,size,Run,followers,leaders,pheromone,unassigned
483,0.560426548,0.486656242,0.0,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,0,30,21,0,49
177,0.560426548,0.486656242,0.0,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,1,35,20,0,45
163,0.560426548,0.486656242,0.0,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,2,9,3,0,88
167,0.560426548,0.486656242,0.0,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,3,11,16,0,73
279,0.560426548,0.486656242,0.0,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,4,32,19,0,49
160,0.560426548,0.486656242,0.0,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,5,36,23,0,41
339,0.560426548,0.486656242,0.0,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,6,25,13,0,62
96,0.560426548,0.486656242,0.0,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,7,0,0,0,100
179,0.560426548,0.486656242,0.0,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,8,29,8,0,63
215,0.560426548,0.486656242,0.0,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,9,0,0,0,100
137,0.560426548,0.486656242,0.02040816326530612,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,10,25,26,0,49
170,0.560426548,0.486656242,0.02040816326530612,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,11,25,12,0,63
348,0.560426548,0.486656242,0.02040816326530612,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,12,29,19,0,52
389,0.560426548,0.486656242,0.02040816326530612,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,13,10,2,0,88
275,0.560426548,0.486656242,0.02040816326530612,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,14,29,20,0,51
309,0.560426548,0.486656242,0.02040816326530612,0.544587569,0.11,0.274353174,0.517588437,100,11.4958368,15,39,22,0,39
