;p_uf;p_pu;p_up;p_fl;p_lu;Run;followers;leaders;pheromone;unassigned
0;0.2197265625;0.0966796875;0.5185546875;0.6767578125;0.2802734375;0;0;0;53;57
1;0.9072265625;0.0966796875;0.5185546875;0.6767578125;0.2802734375;1;0;0;50;60
2;0.2197265625;0.0458984375;0.5185546875;0.6767578125;0.2802734375;2;0;0;80;30
3;0.2197265625;0.0966796875;0.8994140625;0.6767578125;0.2802734375;3;0;0;73;37
4;0.2197265625;0.0966796875;0.5185546875;0.5009765625;0.2802734375;4;0;0;62;48
5;0.2197265625;0.0966796875;0.5185546875;0.6767578125;0.0693359375;5;7;53;0;50
6;0.2197265625;0.0458984375;0.8994140625;0.5009765625;0.0693359375;6;0;0;95;15
7;0.9072265625;0.0966796875;0.8994140625;0.5009765625;0.0693359375;7;14;75;0;21
8;0.9072265625;0.0458984375;0.5185546875;0.5009765625;0.0693359375;8;10;90;0;10
9;0.9072265625;0.0458984375;0.8994140625;0.6767578125;0.0693359375;9;9;86;0;15
10;0.9072265625;0.0458984375;0.8994140625;0.5009765625;0.2802734375;10;0;0;95;15
11;0.9072265625;0.0458984375;0.8994140625;0.5009765625;0.0693359375;11;10;91;0;9
12;0.7197265625;0.5966796875;0.0185546875;0.1767578125;0.7802734375;12;0;0;0;110
13;0.4072265625;0.5966796875;0.0185546875;0.1767578125;0.7802734375;13;0;0;0;110
14;0.7197265625;0.5458984375;0.0185546875;0.1767578125;0.7802734375;14;0;0;0;110
15;0.7197265625;0.5966796875;0.3994140625;0.1767578125;0.7802734375;15;0;0;0;110
16;0.7197265625;0.5966796875;0.0185546875;0.0009765625;0.7802734375;16;0;0;0;110
17;0.7197265625;0.5966796875;0.0185546875;0.1767578125;0.5693359375;17;0;0;0;110
18;0.7197265625;0.5458984375;0.3994140625;0.0009765625;0.5693359375;18;0;0;0;110
19;0.4072265625;0.5966796875;0.3994140625;0.0009765625;0.5693359375;19;0;0;0;110
20;0.4072265625;0.5458984375;0.0185546875;0.0009765625;0.5693359375;20;0;0;0;110
21;0.4072265625;0.5458984375;0.3994140625;0.1767578125;0.5693359375;21;0;0;0;110
22;0.4072265625;0.5458984375;0.3994140625;0.0009765625;0.7802734375;22;0;0;0;110
23;0.4072265625;0.5458984375;0.3994140625;0.0009765625;0.5693359375;23;0;0;0;110
24;0.9697265625;0.3466796875;0.7685546875;0.9267578125;0.5302734375;24;0;0;0;110
25;0.1572265625;0.3466796875;0.7685546875;0.9267578125;0.5302734375;25;0;0;0;110
26;0.9697265625;0.2958984375;0.7685546875;0.9267578125;0.5302734375;26;0;0;0;110
27;0.9697265625;0.3466796875;0.1494140625;0.9267578125;0.5302734375;27;0;0;0;110
28;0.9697265625;0.3466796875;0.7685546875;0.2509765625;0.5302734375;28;0;0;0;110
29;0.9697265625;0.3466796875;0.7685546875;0.9267578125;0.8193359375;29;0;0;0;110
30;0.9697265625;0.2958984375;0.1494140625;0.2509765625;0.8193359375;30;0;0;0;110
31;0.1572265625;0.3466796875;0.1494140625;0.2509765625;0.8193359375;31;0;0;0;110
32;0.1572265625;0.2958984375;0.7685546875;0.2509765625;0.8193359375;32;0;0;0;110
33;0.1572265625;0.2958984375;0.1494140625;0.9267578125;0.8193359375;33;0;0;0;110
34;0.1572265625;0.2958984375;0.1494140625;0.2509765625;0.5302734375;34;0;0;0;110
35;0.1572265625;0.2958984375;0.1494140625;0.2509765625;0.8193359375;35;0;0;0;110
36;0.4697265625;0.8466796875;0.2685546875;0.4267578125;0.0302734375;36;7;93;0;10
37;0.6572265625;0.8466796875;0.2685546875;0.4267578125;0.0302734375;37;8;100;0;2
38;0.4697265625;0.7958984375;0.2685546875;0.4267578125;0.0302734375;38;8;93;0;9
39;0.4697265625;0.8466796875;0.6494140625;0.4267578125;0.0302734375;39;10;88;0;12
40;0.4697265625;0.8466796875;0.2685546875;0.7509765625;0.0302734375;40;2;99;0;9
41;0.4697265625;0.8466796875;0.2685546875;0.4267578125;0.3193359375;41;0;0;0;110
42;0.4697265625;0.7958984375;0.6494140625;0.7509765625;0.3193359375;42;0;0;0;110
43;0.6572265625;0.8466796875;0.6494140625;0.7509765625;0.3193359375;43;0;0;0;110
44;0.6572265625;0.7958984375;0.2685546875;0.7509765625;0.3193359375;44;0;0;0;110
45;0.6572265625;0.7958984375;0.6494140625;0.4267578125;0.3193359375;45;0;0;0;110
46;0.6572265625;0.7958984375;0.6494140625;0.7509765625;0.0302734375;46;5;101;0;4
47;0.6572265625;0.7958984375;0.6494140625;0.7509765625;0.3193359375;47;0;0;0;110
48;0.3447265625;0.4716796875;0.1435546875;0.3017578125;0.1552734375;48;0;0;0;110
49;0.7822265625;0.4716796875;0.1435546875;0.3017578125;0.1552734375;49;20;45;0;45
50;0.3447265625;0.4208984375;0.1435546875;0.3017578125;0.1552734375;50;0;0;0;110
51;0.3447265625;0.4716796875;0.0244140625;0.3017578125;0.1552734375;51;0;0;0;110
52;0.3447265625;0.4716796875;0.1435546875;0.3759765625;0.1552734375;52;0;0;0;110
53;0.3447265625;0.4716796875;0.1435546875;0.3017578125;0.6943359375;53;0;0;0;110
54;0.3447265625;0.4208984375;0.0244140625;0.3759765625;0.6943359375;54;0;0;0;110
55;0.7822265625;0.4716796875;0.0244140625;0.3759765625;0.6943359375;55;0;0;0;110
56;0.7822265625;0.4208984375;0.1435546875;0.3759765625;0.6943359375;56;0;0;0;110
57;0.7822265625;0.4208984375;0.0244140625;0.3017578125;0.6943359375;57;0;0;0;110
58;0.7822265625;0.4208984375;0.0244140625;0.3759765625;0.1552734375;58;23;57;0;30
59;0.7822265625;0.4208984375;0.0244140625;0.3759765625;0.6943359375;59;0;0;0;110
60;0.8447265625;0.9716796875;0.6435546875;0.8017578125;0.6552734375;60;0;0;0;110
61;0.2822265625;0.9716796875;0.6435546875;0.8017578125;0.6552734375;61;0;0;0;110
62;0.8447265625;0.9208984375;0.6435546875;0.8017578125;0.6552734375;62;0;0;0;110
63;0.8447265625;0.9716796875;0.5244140625;0.8017578125;0.6552734375;63;0;0;0;110
64;0.8447265625;0.9716796875;0.6435546875;0.8759765625;0.6552734375;64;0;0;0;110
65;0.8447265625;0.9716796875;0.6435546875;0.8017578125;0.1943359375;65;10;48;0;52
66;0.8447265625;0.9208984375;0.5244140625;0.8759765625;0.1943359375;66;12;50;0;48
67;0.2822265625;0.9716796875;0.5244140625;0.8759765625;0.1943359375;67;0;0;0;110
68;0.2822265625;0.9208984375;0.6435546875;0.8759765625;0.1943359375;68;0;0;0;110
69;0.2822265625;0.9208984375;0.5244140625;0.8017578125;0.1943359375;69;0;0;0;110
70;0.2822265625;0.9208984375;0.5244140625;0.8759765625;0.6552734375;70;0;0;0;110
71;0.2822265625;0.9208984375;0.5244140625;0.8759765625;0.1943359375;71;0;0;0;110
72;0.5947265625;0.2216796875;0.3935546875;0.0517578125;0.9052734375;72;0;0;0;110
73;0.0322265625;0.2216796875;0.3935546875;0.0517578125;0.9052734375;73;0;0;0;110
74;0.5947265625;0.1708984375;0.3935546875;0.0517578125;0.9052734375;74;0;0;0;110
75;0.5947265625;0.2216796875;0.7744140625;0.0517578125;0.9052734375;75;0;0;0;110
76;0.5947265625;0.2216796875;0.3935546875;0.6259765625;0.9052734375;76;0;0;0;110
